City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
Kawalu,57,ID,1575855609,66,81.43,-7.38,108.21,5.37
Guerrero Negro,100,MX,1575855617,80,66.49,27.97,-114.04,15.14
Leningradskiy,100,RU,1575855614,95,7.72,69.38,178.42,18.1
Mae Sot,6,MM,1575855896,82,62.01,16.71,98.57,3.96
Mahebourg,40,MU,1575855617,94,78.01,-20.41,57.7,3.36
Kapaa,40,US,1575855605,78,82.4,22.08,-159.32,10.29
Provideniya,75,RU,1575855612,93,35.6,64.42,-173.23,22.37
Hermanus,89,ZA,1575855605,80,64.99,-34.42,19.24,7
Roald,100,NO,1575855613,93,35.6,62.58,6.12,19.46
Ruston,1,US,1575855898,87,55.4,32.52,-92.64,5.82
Pevek,100,RU,1575855613,93,1.96,69.7,170.27,14.99
Srednekolymsk,86,RU,1575855608,98,-28.71,67.46,153.71,3.2
Lucea,20,JM,1575855898,78,78.8,18.44,-78.17,8.05
Lebu,97,ET,1575855617,92,53.46,8.96,38.73,2.04
Bluff,8,AU,1575855612,22,97.09,-23.58,149.07,17.05
Solnechnyy,94,RU,1575855610,83,-6.34,50.72,136.64,3.69
Ancud,90,CL,1575855611,82,55.4,-41.87,-73.83,5.82
Carnarvon,91,ZA,1575855604,74,55,-30.97,22.13,15.26
Mataura,45,NZ,1575855605,69,55.99,-46.19,168.86,15.01
The Valley,20,AI,1575855651,69,80.6,18.22,-63.06,11.41
Cape Town,0,ZA,1575855332,68,66,-33.93,18.42,9.17
Kangundo,75,KE,1575855898,93,64.4,-1.3,37.35,5.82
Padang,24,ID,1575855614,63,80.78,-0.92,100.36,2.98
Van Wert,1,US,1575855898,75,50,40.86,-84.58,10.29
Nelson Bay,0,AU,1575855622,48,82.4,-32.72,152.14,9.17
Sawakin,95,SD,1575855898,73,76.55,19.1,37.33,14.85
Micheweni,100,TZ,1575855898,77,84.31,-4.97,39.83,14.12
Khatanga,73,RU,1575855624,88,-8.86,71.98,102.47,4.41
Noumea,75,NC,1575855612,52,91.4,-22.28,166.46,12.75
Hithadhoo,24,MV,1575855608,77,83.34,-0.6,73.08,19.01
Come,40,BJ,1575855899,83,82.4,6.41,1.88,11.41
Pouebo,100,NC,1575855899,66,82.56,-20.4,164.57,3.04
Tehachapi,75,US,1575855899,100,54,35.13,-118.45,21.92
Cloquet,90,US,1575855899,92,30.2,46.72,-92.46,9.17
Nome,1,US,1575855611,88,66.2,30.04,-94.42,8.05
Barrow,0,AR,1575855609,88,52.39,-38.31,-60.23,4.45
Rikitea,100,PF,1575855605,82,74.26,-23.12,-134.97,25.08
Busselton,0,AU,1575855608,29,78.01,-33.64,115.35,8.72
Qaanaaq,0,GL,1575855610,56,-6.52,77.48,-69.36,7.07
Dikson,0,RU,1575855604,85,-2.85,73.51,80.55,19.86
Ballina,70,IE,1575855899,99,48,54.11,-9.15,17.16
Mantua,75,IT,1575855899,93,45,45.16,10.79,2.24
Albany,75,US,1575855465,51,37,42.65,-73.75,16.11
Port Elizabeth,90,US,1575855609,90,46,39.31,-74.98,4.09
Comodoro Rivadavia,33,AR,1575855899,49,71.6,-45.87,-67.48,4.7
Ushuaia,75,AR,1575855607,87,44.6,-54.81,-68.31,8.05
Hasaki,40,JP,1575855611,70,48,35.73,140.83,11.41
Muncar,4,ID,1575855899,74,83.39,-8.43,114.34,6.91
Punta Arenas,75,CL,1575855607,87,51.8,-53.16,-70.91,8.05
Katsuura,20,JP,1575855631,66,55.99,33.93,134.5,6.93
Saskylakh,93,RU,1575855614,92,-8.54,71.97,114.09,5.93
Contamana,29,PE,1575855628,65,77.5,-7.35,-75.01,3.13
Butaritari,40,KI,1575855606,71,81.09,3.07,172.79,4.5
Severo-Kurilsk,93,RU,1575855608,72,25.38,50.68,156.12,23.6
Jamestown,65,AU,1575855607,25,86.72,-33.21,138.6,14.65
Impfondo,48,CD,1575855900,71,70.74,1.62,18.06,2.24
Auki,8,NG,1575855613,19,67.68,12.18,6.51,10.02
Klaksvik,77,FO,1575855619,80,35.6,62.23,-6.59,26.4
Naze,0,NG,1575855900,95,73.72,5.43,7.07,3.2
Ponta do Sol,100,BR,1575855608,96,65.79,-20.63,-46,4.34
Progreso,0,UY,1575855900,47,75.2,-34.68,-56.22,8.05
Victoria,75,BN,1575855611,78,82.4,5.28,115.24,1.12
Port Lincoln,100,AU,1575855614,69,65.57,-34.72,135.86,18.43
Lagoa,20,PT,1575855613,100,59,37.14,-8.45,5.82
Arraial do Cabo,0,BR,1575855607,77,72.73,-22.97,-42.02,21.45
Pangnirtung,100,CA,1575855616,58,6.04,66.15,-65.72,22.15
Kieta,100,PG,1575855617,70,84.07,-6.22,155.63,4.74
Hilo,75,US,1575855429,69,80.6,19.71,-155.08,6.93
Bathsheba,20,BB,1575855613,74,80.6,13.22,-59.52,16.11
Ilhabela,70,BR,1575855900,81,72.12,-23.78,-45.36,15.88
Tiksi,0,RU,1575855612,83,-23.96,71.64,128.87,5.44
Edson,90,CA,1575855900,85,21.2,53.59,-116.44,5.82
Atuona,0,PF,1575855609,70,79.41,-9.8,-139.03,11.92
Batagay,89,RU,1575855901,77,-26.7,67.65,134.64,0.63
Tasiilaq,100,GL,1575855613,68,26.6,65.61,-37.64,3.36
Tshikapa,100,CD,1575855901,98,67.57,-6.42,20.79,2.15
Egvekinot,100,RU,1575855631,93,10.17,66.32,-179.17,17.74
Port Alfred,100,ZA,1575855607,77,64.99,-33.59,26.89,3
Portel,0,BR,1575855901,87,74.73,-1.94,-50.82,3.47
Kiama,33,AU,1575855901,42,82.99,-34.67,150.86,10.29
Panormos,0,GR,1575855901,77,50,38.37,22.25,0.81
College,40,US,1575855607,92,16,64.86,-147.8,2.1
Binzhou,0,CN,1575855901,94,33.01,37.38,117.96,5.17
Paamiut,100,GL,1575855901,49,30.81,61.99,-49.67,13.02
Isetskoye,0,RU,1575855901,92,21.18,56.49,65.32,8.48
Vaini,100,IN,1575855608,88,66.2,15.34,74.49,4.7
Grand Gaube,40,MU,1575855623,94,78.01,-20.01,57.66,3.36
Newport,90,GB,1575855712,81,50,51.59,-3,24.16
Komsomolskiy,100,RU,1575855631,95,20.39,67.55,63.78,15.28
Bandarbeyla,0,SO,1575855621,82,80.31,9.49,50.81,12.75
Aripuana,92,BR,1575855902,82,76.19,-9.17,-60.63,1.43
Pierre,90,US,1575855362,100,21.2,44.37,-100.35,21.92
Cidreira,13,BR,1575855624,86,71.42,-30.17,-50.22,16.26
Oriximina,35,BR,1575855902,79,79.47,-1.77,-55.87,1.88
New Norfolk,100,AU,1575855606,29,81,-42.78,147.06,13.87
Lompoc,90,US,1575855618,87,55.99,34.64,-120.46,5.84
Sioux Lookout,75,CA,1575855902,70,-2.2,50.1,-91.92,2.24
Ritchie,13,ZA,1575855902,82,62.6,-29.03,24.6,4.7
Kavieng,100,PG,1575855610,64,85.77,-2.57,150.8,4.74
Nizhniy Kuranakh,100,RU,1575855902,96,0.7,58.84,125.49,2.84
Salinopolis,0,BR,1575855902,75,83.12,-0.61,-47.36,18.16
Coquimbo,0,CL,1575855621,82,57.2,-29.95,-71.34,6.93
Lafia,0,NG,1575855902,28,72.75,8.5,8.51,2.3
Otradnoye,75,RU,1575855902,86,37.99,59.77,30.8,11.18
